pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
66196,5,4,14,1,26.5,2,1,3,3,1,3,1,3,1,5,40,5,5,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,2.9,2,5,7,7,7,1,2019,0,1,2013-03-01,2019-02-28,2019-09-01,2017-03-01,,,30,,0
66311,5,3,4,1,29.333333333,,,,,,,,,,,,,,,,,,,,,-1,4,2,2,2,1,2,2,2,6,48,4,3,3,3,2,2,2,1,2,1,3.6,1,4,5,5,6,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-06-01,,4,0
66428,5,1,1,1,25.25,,,,,,,,,,,,,,,,,,,,,9,1,1,1,3,1,3,3,3,5,40,3,3,4,4,1,2,1,1,1,2,3.8,2,4,5,5,5,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2020-07-01,2020-08-01,,1,0
66444,5,1,1,1,27,,,,,,,,,,,,,,,,,,,,,1,1,2,2,3,2,1,2,3,5,7,2,2,1,2,2,2,2,2,2,3,4.17,1,3,4,4,4,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-08-01,2019-09-01,,1,0
66587,5,4,15,2,26,,,,,,,,,,,,,,,,,,,,,3,1,1,1,3,2,1,3,3,5,50,4,4,5,5,1,2,1,1,3,3,4.1,1,3,3,3,3,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-03-01,2020-03-01,,12,0
66618,5,1,1,1,28.5,,,,,,,,,,,,,,,,,,,,,6,1,3,3,3,1,1,3,3,5,40,3,3,1,2,3,3,3,3,1,3,3.5,1,1,7,7,7,1,2019,1,2,2011-03-01,2019-02-28,2019-09-01,,2019-12-01,2020-02-01,,2,0
66622,5,2,9,2,25.666666667,,,,,,,,,,,,,,,,,,,,,3,9,1,1,1,1,1,1,1,5,40,1,4,4,5,1,2,1,1,1,-1,,2,4,7,7,7,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-01-01,2019-08-01,,7,0
66640,5,2,8,2,24.166666667,,,,,,,,,,,,,,,,,,,,,7,9,1,1,1,1,1,1,1,5,52,4,3,3,4,1,2,1,1,1,3,3.7,2,5,6,5,6,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2020-03-01,2020-08-01,,5,0
66649,5,3,11,2,24.5,,,,,,,,,,,,,,,,,,,,,2,11,2,2,2,2,2,2,2,3,15,5,5,1,1,2,2,2,1,2,3,3.3,2,3,6,7,7,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2017-09-01,2020-05-01,,32,0
66674,5,4,15,1,28.583333333,,,,,,,,,,,,,,,,,,,,,-1,8,1,1,3,1,1,3,3,5,40,3,2,1,1,1,2,1,1,1,3,3.2,1,5,5,5,5,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2020-08-01,2020-08-01,,0,0
66714,5,5,16,2,24.583333333,,,,,,,,,,,,,,,,,,,,,7,13,1,1,1,2,1,1,1,5,40,3,2,3,3,1,2,1,1,1,2,3.5,1,3,4,4,4,1,2019,1,2,2017-03-01,2019-02-28,2019-09-01,,2019-01-01,2020-01-01,,12,0
66907,5,2,9,2,25.916666667,,,,,,,,,,,,,,,,,,,,,-1,9,2,2,2,2,2,2,2,4,28,3,3,1,1,2,2,2,2,2,3,3,2,3,5,5,5,1,2019,1,2,2013-03-01,2018-08-31,2019-09-01,,2018-02-01,2018-12-01,,10,0
66929,5,2,5,1,28.916666667,,,,,,,,,,,,,,,,,,,,,4,1,1,1,2,2,1,2,2,5,40,4,4,4,3,1,2,1,1,1,1,3.8,2,4,6,6,5,1,2019,1,2,2010-03-01,2019-02-28,2019-09-01,,2019-11-01,2020-04-01,,5,0
66944,5,3,11,2,24.333333333,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,3,3,3,3,3,5,20,3,3,3,3,3,3,3,3,3,-1,,2,3,3,3,3,1,2019,1,2,2017-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-05-01,,3,0
66963,5,3,10,1,26,,,,,,,,,,,,,,,,,,,,,9,8,2,2,2,2,2,2,2,6,24,3,3,1,1,1,2,1,1,1,3,3.3,2,3,2,3,4,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-06-01,2019-08-01,,2,0
67011,5,4,2,1,26.166666667,,,,,,,,,,,,,,,,,,,,,8,2,1,1,2,3,2,2,2,5,40,3,4,4,4,1,2,1,1,1,3,4.1,1,5,6,6,6,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-03-01,2020-03-01,,12,0
