pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,First_Work,year,Resign,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,insurance,work_timeB,주당근로일,주당근로시간,직장에서의복리후생제공여부,보험가입여부,직장만족도,주당근로시간_binary
26727,2,3,11,2,24.58333333,,,,,,,,,,,,,,,,,,,,,-1,2,2,2,1,2,2,2,6,42,2,1,2,2,3,3,3,3,1,3,3,1,2,2,2,5,1,2,2020,1,2014-03-01,2018-08-31,2020-09-01,,2018-09-01,2019-01-01,,4,4,0,0,2,2,-1,1,2,2,2,2,1,2,2,2,6,42,3,3,3,3,1,3,1,1,2,1,1,1,1,1,3,,1,1,0,0,1,6,42,제공하지않는다,가입하지않음,그렇지않다,40시간초과
26741,2,3,11,2,25.25,,,,,,,,,,,,,,,,,,,,,9,2,2,2,2,2,2,2,2,16,3,3,1,1,2,2,3,3,3,3,3.8,1,5,4,4,4,1,2,2020,1,2015-03-01,2019-02-28,2020-09-01,,2020-02-01,2020-05-01,,3,3,0,0,1,1,9,3,3,2,2,2,2,2,2,2,2,16,2,2,3,3,3,3,3,1,2,1,1,1,2,2,2,1,2,2,0,0,0,2,16,제공하지않는다,가입하지않음,보통이다,40시간이하
26756,2,3,10,1,27.25,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,3,3,3,5,40,4,4,1,2,1,2,1,1,1,3,3.7,1,5,7,7,7,1,2,2020,1,2012-03-01,2019-02-28,2020-09-01,,2019-07-01,2019-10-01,,3,3,0,0,1,2,2,4,4,3,3,3,3,3,3,3,5,40,1,2,1,1,1,3,3,1,2,1,1,1,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
26759,2,4,15,2,25.25,,,,,,,,,,,,,,,,,,,,,3,2,1,3,2,2,1,3,5,40,3,3,5,4,1,2,1,1,1,3,3.2,2,4,5,5,5,1,2,2020,1,2014-03-01,2018-08-31,2020-09-01,,2019-08-01,2019-12-01,,4,4,0,0,5,4,3,3,3,2,1,3,2,2,1,3,5,40,1,2,1,1,1,3,3,1,2,3,3,1,3,3,3,2,2,2,0,1,0,5,40,제공하지않는다,가입했다,보통이다,40시간이하
26780,2,4,14,2,25.5,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,1,5,40,3,2,3,3,1,2,1,1,1,3,3.9,1,4,5,5,5,1,2,2020,1,2014-03-01,2018-08-31,2020-09-01,,2019-04-01,2020-07-01,,15,15,1,0,3,3,5,2,3,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,3,1,2,2,2,1,3,3,3,2,1,2,1,1,0,5,40,제공한다,가입했다,보통이다,40시간이하
26817,2,4,2,2,23.91666667,,,,,,,,,,,,,,,,,,,,,-1,2,2,2,2,2,2,2,5,20,4,4,3,3,2,2,2,2,2,3,3.1,2,4,7,7,7,1,2,2020,1,2015-03-01,2019-02-28,2020-09-01,,2019-08-01,2019-09-01,,1,1,0,0,3,3,-1,4,4,2,2,2,2,2,2,2,5,20,2,2,2,2,2,3,3,1,2,2,2,1,3,3,3,,3,3,0,0,0,5,20,제공하지않는다,가입하지않음,그렇다,40시간이하
26866,2,1,1,2,28.66666667,2,6,1,1,3,3,3,1,1,5,40,4,4,1,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,1,4,1,4,5,5,5,1,1,2020,0,2011-03-01,2018-08-31,2020-09-01,2018-01-01,,,32,,32,1,1,1,3,6,4,4,1,1,3,3,3,1,1,5,40,1,2,1,1,1,1.125,3,1,1,1,2,1,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
26879,2,1,1,1,29.41666667,2,-1,1,2,1,2,1,3,1,5,40,4,4,3,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,-1,,1,4,6,6,6,1,1,2020,0,2010-03-01,2018-08-31,2020-09-01,2018-06-01,,,27,,27,1,1,3,2,-1,4,4,1,2,1,2,1,3,1,5,40,1,2,1,1,1,,3,1,1,2,1,1,3,3,3,,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
26966,2,4,2,1,26.41666667,,,,,,,,,,,,,,,,,,,,,8,1,1,2,2,2,2,2,5,45,1,1,3,3,3,3,3,3,3,3,3.2,2,5,4,4,4,1,2,2020,1,2013-03-01,2019-02-28,2020-09-01,,2018-11-01,2020-07-01,,20,20,1,0,3,3,8,1,1,1,1,2,2,2,2,2,5,45,3,3,3,3,3,3,3,1,2,2,2,1,2,2,2,2,1,1,0,0,1,5,45,제공하지않는다,가입하지않음,그렇지않다,40시간초과
26982,2,1,1,2,25.58333333,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,5,18,4,4,1,1,2,2,2,1,1,2,3.85,1,3,4,4,4,1,2,2020,1,2013-03-01,2019-02-28,2020-09-01,,2019-11-01,2020-02-01,,3,3,0,0,1,1,-1,4,4,1,1,1,1,1,1,1,5,18,2,2,2,1,1,2.093023256,2,1,1,1,1,1,2,2,2,,3,3,1,0,0,5,18,제공한다,가입하지않음,그렇다,40시간이하
